CaseId,Activity,Timestamp
76561198191230966,RTFM,2017-08-19 07:25:40
76561198191230966,BUSY_LOOP,2020-02-24 20:32:11
76561198405017903,RTFM,2019-06-18 20:17:59
76561198405017903,PARALLELIZE,2019-06-18 20:26:40
76561198085660699,RTFM,2018-11-27 04:24:36
76561198043346855,RTFM,2017-04-16 09:28:36
76561198043346855,HALT_AND_CATCH_FIRE,2019-03-26 03:45:48
76561198042158376,RTFM,2019-11-30 21:14:43
76561198042158376,BUSY_LOOP,2019-12-13 21:30:37
76561198042158376,PARALLELIZE,2019-12-13 21:26:15
76561198042158376,UNCONDITIONAL,2019-12-13 22:01:38
76561198042158376,NO_BACKUP,2020-01-24 23:50:30
76561198042158376,NO_MEMORY,2020-01-25 14:35:48
76561198042158376,HALT_AND_CATCH_FIRE,2020-01-18 22:14:26
76561198042158376,ILLEGAL_EAGLE,2020-01-20 22:23:54
76561198042158376,100_PERCENT_V1,2019-12-13 20:17:32
76561198042158376,100_PERCENT_V2,2020-01-25 21:55:50
76561198176975983,RTFM,2020-01-01 09:35:30
76561197966110072,RTFM,2016-10-21 18:03:41
76561197966110072,PARALLELIZE,2016-10-21 23:01:36
76561197968571620,RTFM,2019-12-25 01:20:42
76561197968571620,BUSY_LOOP,2019-12-31 02:14:12
76561197968571620,PARALLELIZE,2019-12-31 02:21:09
76561198000816173,RTFM,2016-01-22 13:28:36
76561198000816173,BUSY_LOOP,2016-01-22 13:07:39
76561198000816173,PARALLELIZE,2016-01-22 10:08:41
76561198000816173,UNCONDITIONAL,2016-01-22 11:05:51
76561198000816173,NO_BACKUP,2016-01-22 13:27:36
76561198000816173,NO_MEMORY,2019-12-28 09:07:18
76561198000816173,HALT_AND_CATCH_FIRE,2016-01-22 13:31:42
76561198000816173,ILLEGAL_EAGLE,2019-12-28 09:44:37
76561198000816173,100_PERCENT_V1,2019-12-28 09:51:54
76561198042069515,RTFM,2018-07-04 05:27:00
76561198042069515,HALT_AND_CATCH_FIRE,2019-12-27 05:04:40
76561198134903706,RTFM,2018-02-09 03:16:45
76561198134903706,HALT_AND_CATCH_FIRE,2018-02-14 23:07:13
76561198134903706,ILLEGAL_EAGLE,2018-02-14 23:26:20
76561198082455555,RTFM,2017-11-24 23:22:07
76561198082455555,BUSY_LOOP,2019-12-19 23:33:11
76561198082455555,PARALLELIZE,2019-12-21 05:43:42
76561198082455555,HALT_AND_CATCH_FIRE,2018-05-30 05:36:20
76561198044721708,RTFM,2018-11-24 12:33:22
76561198079883481,RTFM,2016-03-04 21:44:01
76561198079883481,BUSY_LOOP,2016-03-04 22:33:26
76561198079883481,PARALLELIZE,2018-02-26 22:27:17
76561198079883481,UNCONDITIONAL,2018-02-27 00:21:49
76561198079883481,NO_BACKUP,2019-12-05 10:30:01
76561198079883481,NO_MEMORY,2019-12-05 10:41:01
76561198079883481,HALT_AND_CATCH_FIRE,2019-12-05 10:32:23
76561198079883481,ILLEGAL_EAGLE,2019-12-05 10:45:01
76561198134930428,RTFM,2017-01-01 03:53:53
76561198134930428,BUSY_LOOP,2017-01-01 20:44:13
76561198134930428,PARALLELIZE,2017-01-01 05:15:45
76561198134930428,UNCONDITIONAL,2019-01-29 00:54:00
76561198134930428,NO_BACKUP,2017-01-02 03:55:30
76561198134930428,HALT_AND_CATCH_FIRE,2017-01-02 04:03:55
76561198134930428,ILLEGAL_EAGLE,2019-11-17 18:46:50
76561198093405092,RTFM,2019-05-16 01:07:24
76561198093405092,PARALLELIZE,2019-11-26 02:08:33
76561198093405092,NO_BACKUP,2019-11-23 23:51:59
76561198093405092,HALT_AND_CATCH_FIRE,2019-07-07 00:22:45
76561198252996589,RTFM,2019-06-06 18:55:46
76561198252996589,BUSY_LOOP,2019-09-22 13:47:37
76561198252996589,PARALLELIZE,2019-09-26 22:23:02
76561198252996589,NO_BACKUP,2019-09-27 18:11:45
76561198252996589,HALT_AND_CATCH_FIRE,2019-09-27 17:31:44
76561198068966720,RTFM,2017-03-11 08:11:58
76561198122617301,RTFM,2018-12-20 22:23:50
76561198122617301,BUSY_LOOP,2018-12-26 20:23:54
76561198122617301,PARALLELIZE,2019-02-25 03:51:39
76561198122617301,UNCONDITIONAL,2019-02-25 19:45:08
76561198122617301,HALT_AND_CATCH_FIRE,2018-12-29 02:42:19
76561198122617301,ILLEGAL_EAGLE,2019-02-27 05:40:28
76561197969749884,RTFM,2019-10-30 15:56:18
76561197969749884,BUSY_LOOP,2019-11-01 20:12:08
76561197969749884,PARALLELIZE,2019-11-01 14:26:43
76561197969749884,UNCONDITIONAL,2019-11-02 20:47:51
76561197969749884,NO_BACKUP,2019-11-02 12:16:26
76561197969749884,NO_MEMORY,2019-11-04 14:33:32
